ID,Title,Author,Year,Format,File
1,Cantik Itu Luka, Eka Kurniawan,2015,PDF,ebook/Eka_Kurniawan_-_Cantik_itu_Luka (1).pdf
2,Ayah, Andrea Hirata,2015,PDF,ebook/Ayah.pdf
3,Laskar Pelangi, Andrea Hirata,2005,PDF,ebook/Laskar Pelangi.pdf
4,Matahari, Tere Liye,2016,PDF,ebook/Matahari.pdf
5,Syahadat cinta, Taufiqurrahman Al-Azizy,2006,PDF,ebook/Syahadat cinta.pdf
6,Edensor, Andrea Hirata,2007,PDF,ebook/Edensor.pdf
7,Royan Revolusi, Ramadhan K.H.,1968,PDF,ebook/Royan Revolusi.pdf
8,Yang Fana Adalah Waktu, Sapardi Djoko Damono,2018,PDF,ebook/Yang fana adalah waktu.pdf
9,Malam Terakhir, Leila S. Chudori,2019,PDF,ebook/Malam Terakhir.pdf
10,Bumi Manusia, Pramoedya Ananta Toer,2002,PDF,ebook/Bumi Manusia.pdf
